code,que_num,country,sub_other,question
paper,2,mod,NA,"In general, when your software contributes to a paper, are you acknowledged in that paper?"
conf,1,can,NA,Have you presented your software work at a conference or workshop?
conf,2,can,NA,At which conference(s)/workshop(s) have you presented your software work?
proj,1,can,NA,How many software projects are you currently involved in?
proj,2,can,NA,How many software developers typically work on your projects?
proj,7,can,NA,What percentage of these developers are dedicated to the project full time?
proj,8,can,NA,Do your research software projects typically include a project manager?
stability,1,,NA,What is the bus factor of your most important software project? (The bus factor designates the minimal number of developers that have to be hit by a bus (or quit) before a project is incapacitated)
stability,2,,NA,Do the projects you work on typically have a plan to cope with developers leaving the group?
proj,4,can,NA,How are your projects typically tested? Please check all that apply
proj,5,can,NA,What development methodology does your current project use?
proj,5,can,[other],What development methodology does your current project use?
open,1,can,NA,How often do you use an open-source licence for your software?
open,2,de,NA,How often do you reference software directly or the papers describing the software?
open,3,can,NA,How often do you associate your software with a Digital Object Identifier (DOI)?
open,3,de,NA,Which tools do you use to mint a DOI (e
open,1,de,NA,Do you have an ORCID ID?
proj,5,zaf,NA,Which version control tools do you use for software development?
proj,6,zaf,NA,Which online collaboration tools and open repositories do you use for software development?
train,2,,NA,"On average, how many times a year do you take part in providing training?"
train,3,,NA,"What training programs are you involved with (comma separated list, e"
fund,2,,NA,Which of the following sources are used to pay for your effort as an RSE?
fund,2,,[other],Which of the following sources are used to pay for your effort as a Research Software Engineer?
fund,1,can,NA,How is your current research software work funded?
fund,1,can,[other],How is your current research software work funded?
recog,1,,NA,Do you feel that your contribution to research is recognised by your supervisor/line manager
recog,2,,NA,Do you feel that your contribution to research is recognised by the researchers you work with
recog,3,,NA,Do you feel that your contribution to research is recognised by your institution?
turnOver,3,,NA,How often do you consider leaving your job?
turnOver,6,,NA,I would accept another job at the same compensation level if I was offered it
percEmp,1,,NA,It would not be very difficult for me to get an equivalent job in a different institution
percEmp,3,,NA,My experience is in demand on the labour market
progRSE,1,,NA,It is likely that I will gain a promotion within my current group
progRSE,2,,NA,The process I have to complete to gain a promotion is clear and understandable
progRSE,3,,NA,There are many opportunities within my chosen career plan
progRSE,5,,NA,It is likely that my next position will be an Research Software Engineer / Research Software Developer role
satisGen,1,,NA,"In general, how satisfied are you with your current position"
satisGen,2,,NA,"In general, how satisfied are you with your career"
socio,3,,NA,Please select your age
socio,11,ausnzlqnzl,NA,What is the category of your pay-scale?
socio,11,ausnzlqnzl,[other],What is the category of your pay-scale?
socio,11,ausnzlqaus,NA,What is the category of your pay-scale?
socio,11,ausnzlqaus,[other],What is the category of your pay-scale?
socio,12,ausnzlqnzl,NA,What is your academic pay-level?
socio,12,ausnzlqaus,NA,What is your academic pay-level?
socio,13,ausnzlqnzl,NA,What is your pay-level?
socio,13,ausnzlqnzl,[other],What is your pay-level?
socio,13,ausnzlqaus,NA,What is your pay-level?
socio,13,ausnzlqaus,[other],What is your pay-level?
socio,14,ausnzlqaus,NA,What is your government pay-level?
ukrse,1,,NA,Are you a member of an association of Research Software Developers (e
org,1,can,NA,Would you be interested in joining such an organisation?
org,2,can,NA,What would you hope to get out of such an organisation (check all that apply)?
org,2,can,[other],What would you hope to get out of such an organisation (check all that apply)?
org,3,us,NA,What specific activities or forums would you like to see your national association provide?
org,4,us,NA,What would a national organization need to provide in order for you to pay membership dues?
org,5,us,NA,How much would you be willing to pay as an annual membership fee to join a national association?
tool,2,,NA,Which operating system do you primarily use for development?
tool,2,,[other],Which operating system do you primarily use for development?
tool,4,can,NA,What programming languages do you use at work? Please select all that apply
tool,4,can,[other],What programming languages do you use at work? Please select all that apply
tool,5,can,NA,On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,can,[SQ009],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,can,[SQ008],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ003],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ004],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ005],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ006],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ007],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ009],On which platform(s) is your most recent research software project deployed? Please select all that apply
tool,5,,[SQ008],On which platform(s) is your most recent research software project deployed? Please select all that apply
ukrse,3,,NA,How did you learn the skills you need to become an Research Software Engineer / Research Software Developer?
ukrse,12,de,NA,Would you like to attend a conference about software development in academia?
skill,2,,NA,What three skills would you like to acquire or improve to help your work as a Research Software Engineer/ Research Software Developer? The skills can be technical and non-technical
NA,NA,NA,NA,NA
currentEmp,2,,NA,Which university do you work for?
